geoid,name,B03002001,"B03002001, Error",B03002002,"B03002002, Error",B03002003,"B03002003, Error",B03002004,"B03002004, Error",B03002005,"B03002005, Error",B03002006,"B03002006, Error",B03002007,"B03002007, Error",B03002008,"B03002008, Error",B03002009,"B03002009, Error",B03002010,"B03002010, Error",B03002011,"B03002011, Error",B03002012,"B03002012, Error",B03002013,"B03002013, Error",B03002014,"B03002014, Error",B03002015,"B03002015, Error",B03002016,"B03002016, Error",B03002017,"B03002017, Error",B03002018,"B03002018, Error",B03002019,"B03002019, Error",B03002020,"B03002020, Error",B03002021,"B03002021, Error"
86000US90034,90034,57443,1334,41164,1102,22081,881,5202,684,126,85,11031,906,150,99,402,204,2172,328,433,221,1739,263,16279,1277,12050,1340,311,141,97,65,59,47,37,43,3022,529,703,219,545,234,158,87
86000US90035,90035,30582,1118,27373,1106,21466,969,2193,438,16,25,2278,490,10,14,195,178,1215,258,32,31,1183,259,3209,500,1246,275,61,67,0,25,11,18,7,11,1620,436,264,106,109,69,155,80
86000US90036,90036,37931,1245,34486,1326,23442,1028,1836,485,76,71,7162,726,99,89,314,202,1557,505,63,46,1494,490,3445,627,1356,382,96,68,29,32,39,46,12,19,1619,404,294,136,166,104,128,76
86000US90037,90037,61451,1874,14294,984,1032,300,11775,1020,101,65,636,229,0,28,360,169,390,167,98,79,292,146,47157,1853,16208,1514,225,89,469,296,10,16,0,28,29385,2054,860,308,565,229,295,215
86000US90038,90038,28155,1140,12231,761,8287,625,1578,376,9,14,1442,299,0,22,152,93,763,263,177,96,586,251,15924,990,3407,612,48,52,109,90,0,22,0,22,11920,889,440,162,280,112,160,132
86000US90039,90039,28436,1167,17659,815,10954,556,648,395,14,18,5045,463,71,64,84,89,843,237,64,62,779,219,10777,886,5257,760,16,19,78,57,191,148,0,22,4895,786,340,140,97,55,243,135
86000US90041,90041,28405,1051,17392,1073,8738,694,364,119,7,11,7419,682,104,90,47,44,713,213,26,28,687,209,11013,1044,6401,1015,30,28,198,122,386,241,0,22,3018,637,980,361,494,263,486,274
86000US90042,90042,63109,1686,20518,875,9849,639,1640,387,124,76,7716,676,97,71,222,151,870,185,37,30,833,192,42591,1675,19668,1374,203,87,861,419,196,175,27,33,20219,1553,1417,316,643,187,774,254
86000US90043,90043,44328,1641,30177,1446,1689,413,26485,1457,29,30,562,266,34,46,367,247,1011,350,31,27,980,350,14151,1234,6604,992,492,164,146,137,80,86,35,49,6378,977,416,161,220,119,196,124
86000US90044,90044,90155,2473,34167,1534,948,298,31408,1548,66,67,472,202,7,12,257,154,1009,366,90,95,919,348,55988,2366,20789,1820,430,191,295,176,0,28,8,13,33802,1978,664,197,315,122,349,166
86000US90045,90045,41145,1239,33809,1266,20517,944,5297,740,60,67,5553,709,70,57,158,94,2154,437,11,13,2143,438,7336,800,4276,632,69,71,29,53,5,10,0,25,2261,488,696,267,281,175,415,210
86000US90046,90046,50923,1283,45174,1325,37597,1215,2142,401,48,46,2854,482,41,46,373,100,2119,431,139,90,1980,406,5749,681,2767,431,38,38,59,65,59,41,8,12,2161,455,657,222,348,163,309,149
86000US90047,90047,48306,1648,33394,1587,648,255,31197,1575,22,24,299,207,93,87,152,148,983,330,38,43,945,327,14912,1324,7474,1070,237,189,180,129,69,84,0,25,6585,1088,367,221,214,155,153,157
