,Zip Code,2017 Crime count,geoid,Total Population,Not Hispanic,NonHisp White,NonHisp Black,Hispanic,Hisp White,Hisp Black,Percent NonHisp White,Percent NonHisp Black,Violent Crime Rate
19,90021,203,86000US90021,2954,1480,545,702,1474,457,0,18.449559918754233,23.764387271496275,6872.037914691943
20,90023,291,86000US90023,46611,1519,882,244,45092,28508,179,1.8922571925082061,0.5234815816009096,624.3161485486258
21,90024,116,86000US90024,49737,44228,27048,869,5509,3236,42,54.38204958079498,1.7471902205601464,233.2267728250598
22,90025,291,86000US90025,46520,37878,24739,1291,8642,4565,73,53.1792777300086,2.7751504729148753,625.5374032674118
23,90026,244,86000US90026,67557,31604,16514,2168,35953,21296,296,24.44454312654499,3.209141909794692,361.17648800272366
24,90027,41,86000US90027,46043,36314,27252,1263,9729,3459,69,59.1881502074148,2.7430879829724386,89.04719501335708
25,90028,1142,86000US90028,31122,21139,15158,2502,9983,2159,103,48.705096073517126,8.03932909196067,3669.429985219459
26,90029,750,86000US90029,40242,17954,9503,911,22288,6062,64,23.61463147954873,2.2638039858853936,1863.7244669748025
27,90031,344,86000US90031,38940,12552,2658,235,26388,11892,64,6.825885978428352,0.603492552645095,883.4103749357987
28,90032,267,86000US90032,47285,9001,3372,689,38284,17445,137,7.131225547213704,1.4571217087871418,564.6610975996616
29,90033,580,86000US90033,49156,4477,1233,668,44679,31389,108,2.508340792578729,1.3589388884368134,1179.9169989421434
30,90034,122,86000US90034,57443,41164,22081,5202,16279,12050,311,38.439844715631146,9.055933708197692,212.3844506728409
31,90035,226,86000US90035,30582,27373,21466,2193,3209,1246,61,70.19161598325813,7.1708848342162055,738.9967955006213
32,90036,224,86000US90036,37931,34486,23442,1836,3445,1356,96,61.80169254699322,4.840368036698215,590.5459914054468
33,90037,1151,86000US90037,61451,14294,1032,11775,47157,16208,225,1.6793868285300484,19.16160843598965,1873.0370539128737
34,90038,450,86000US90038,28155,12231,8287,1578,15924,3407,48,29.433493162848517,5.6046883324453916,1598.2951518380394
35,90039,157,86000US90039,28436,17659,10954,648,10777,5257,16,38.52159234772824,2.278801519201013,552.1170347446898
36,90041,88,86000US90041,28405,17392,8738,364,11013,6401,30,30.762189755324766,1.2814645308924484,309.80461186410844
37,90042,250,86000US90042,63109,20518,9849,1640,42591,19668,203,15.606331901947424,2.598678476920883,396.1400117257444
38,90043,551,86000US90043,44328,30177,1689,26485,14151,6604,492,3.8102328099621006,59.74778920772423,1243.006677495037
39,90044,563,86000US90044,90155,34167,948,31408,55988,20789,430,1.0515223781265597,34.83777937995674,624.4800621152459
40,90045,227,86000US90045,41145,33809,20517,5297,7336,4276,69,49.86511119212541,12.873982257868514,551.7073763519261
41,90046,64,86000US90046,50923,45174,37597,2142,5749,2767,38,73.83107829468021,4.20635076488031,125.67994815702139
42,90047,326,86000US90047,48306,33394,648,31197,14912,7474,237,1.341448267295988,64.58203949819898,674.86440607792
43,90048,199,86000US90048,22722,20621,17007,548,2101,1175,10,74.84816477422763,2.411759528210545,875.8031863392307
44,90049,17,86000US90049,35581,33494,28582,446,2087,1572,18,80.32938928079592,1.2534779798206908,47.778308647873864
45,90056,43,86000US90056,8118,7465,1011,5938,653,341,118,12.453806356245382,73.14609509731461,529.6871150529688
46,90057,1013,86000US90057,48302,14684,2579,2059,33618,10310,134,5.339323423460726,4.262763446648172,2097.2216471367647
47,90058,33,86000US90058,2674,379,90,192,2295,1041,20,3.3657442034405385,7.180254300673148,1234.1062079281976
48,90059,440,86000US90059,46027,15378,368,14167,30649,17199,242,0.7995307102352966,30.77975970625937,955.9606318030721
49,90061,411,86000US90061,27203,10072,179,9484,17131,8633,159,0.6580156600374958,34.863801786567656,1510.8627724883286
50,90062,856,86000US90062,33690,12336,322,10713,21354,6078,453,0.9557732264766993,31.798753339269815,2540.813297714455
51,90063,68,86000US90063,54142,1961,800,205,52181,21308,78,1.477595951387093,0.3786339625429426,125.59565586790292
52,90064,109,86000US90064,27032,23365,16591,994,3667,2821,30,61.37540692512577,3.6771234092926903,403.22580645161287
53,90065,138,86000US90065,46965,17904,9034,778,29061,15843,141,19.235600979452784,1.6565527520493986,293.83583519642286
54,90066,165,86000US90066,59258,41465,27870,1945,17793,8676,109,47.03162442201897,3.282257247966519,278.4434169226096
55,90067,35,86000US90067,2355,2316,1801,6,39,30,0,76.4755838641189,0.25477707006369427,1486.1995753715498
56,90068,20,86000US90068,21450,19424,15996,700,2026,966,0,74.57342657342657,3.263403263403263,93.24009324009324
57,90069,63,86000US90069,20435,17948,14614,994,2487,1179,26,71.51455835576218,4.864203572302422,308.2945926107169
58,90071,456,86000US90071,0,0,0,0,0,0,0,,,inf
59,90077,21,86000US90077,8912,8236,6845,213,676,558,0,76.80655296229803,2.390035906642729,235.63734290843806
60,90079,247,86000US90079,0,0,0,0,0,0,0,,,inf
61,90094,98,86000US90094,8072,7215,3672,1033,857,392,20,45.490584737363726,12.797324083250745,1214.073339940535
